動画ID,動画タイトル,中分類・領域,評価フォームURL,Record Count
COMP-460,臨床判断前のマインドフル・ポーズ,プロフェッショナリズム,▶ 評価する,2
COMP-212,医療安全：インシデント報告,医療安全,▶ 評価する,1
COMP-217,離島・へき地での遠隔診療,地域医療,▶ 評価する,1
COMP-218,災害後の心理的応急処置（PFA）,精神・災害医療,▶ 評価する,1
COMP-216,AI診断支援システムとの協調,未来の医療,▶ 評価する,1
COMP-221,診療情報の開示と共有,医療倫理,▶ 評価する,1
COMP-222,臨床研究への協力依頼,医療倫理,▶ 評価する,1
COMP-223,終末期における「家で過ごす」選択,緩和・地域医療,▶ 評価する,1
COMP-224,針刺し事故発生時の初期対応,医療安全,▶ 評価する,1
COMP-225,医学生の白衣授与式,プロフェッショナリズム,▶ 評価する,1
COMP-413,薬剤耐性菌（MDRO）アウトブレイクへの対応,感染管理,▶ 評価する,1
COMP-220,シミュレーション実習のデブリーフィング,教育,▶ 評価する,1
COMP-424,終末期ではない段階でのアドバンス・ディレクティブ,倫理・地域医療,▶ 評価する,1
COMP-429,認知症の行動・心理症状（BPSD）への対応,高齢者医療,▶ 評価する,1
COMP-434,医療事故・誤薬の開示,医療安全,▶ 評価する,1
COMP-443,精巣腫瘍（若年男性の健康教育）,泌尿器・公衆衛生,▶ 評価する,1
COMP-444,ICUせん妄と非薬物介入（ABCDEF Bundle）,集中治療,▶ 評価する,1
COMP-445,医療倫理：DNR（蘇生不要指示）の慎重な再確認,医療倫理,▶ 評価する,1
COMP-448,医師のセルフ・コンパッション,ウェルビーイング,▶ 評価する,1
COMP-454,困難な状況での医療事故説明（家族への対応）,医療安全,▶ 評価する,1
COMP-455,慢性疼痛への全人的アプローチ,緩和・地域医療,▶ 評価する,1
DISE-155,分娩中の常位胎盤早期剥離,産婦人科,▶ 評価する,1
COMP-465,医療倫理：沈黙の打破（Speak Up）,医療安全,▶ 評価する,1
COMP-467,在留外国人への診療（言語と文化の壁）,国際医療,▶ 評価する,1
COMP-470,地域医療：精神科疾患へのスティグマへの対応,地域医療・精神,▶ 評価する,1
COMP-474,手術直前の「マインドフル・タイムアウト）,医療安全,▶ 評価する,1
COMP-421,ヘルスリテラシーへの配慮,医療教育,▶ 評価する,1
COMP-480,看護師の視点を活かす多職種カンファレンス,チーム医療,▶ 評価する,1
COMP-482,治療抵抗性への動機付け面接,行動変容,▶ 評価する,1
COMP-485,「セカンド・ビクティム」への支援,医療安全,▶ 評価する,1
COMP-486,AI搭載デジタル聴診器による心音可視化,未来の医療,▶ 評価する,1
COMP-487,VRを用いた解剖学・手術シミュレーション,教育ICT,▶ 評価する,1
COMP-488,ゲノム・エキスパートパネル,次世代医療,▶ 評価する,1
COMP-489,ウェアラブルデバイスによる在宅遠隔モニタリング,地域医療・ICT,▶ 評価する,1
COMP-490,グローバル・ヘルス：テレ・カンファレンス,国際医療,▶ 評価する,1
COMP-491,医学生の家庭訪問実習：生活背景の理解,教育・地域医療,▶ 評価する,1
COMP-492,多世代にわたる「かかりつけ医」の診療,地域医療,▶ 評価する,1
COMP-493,大規模災害訓練（リーダーシップ）,災害医療,▶ 評価する,1
COMP-494,医学生による模擬患者（SP）との面談演習,教育,▶ 評価する,1
COMP-495,臨床倫理コンサルテーション：葛藤の中の意思決定,医療倫理,▶ 評価する,1
COMP-496,メンターシップ：ベテラン医師から若手へのバトン,教育,▶ 評価する,1
COMP-497,高機能シミュレーターによる究極のトレーニング,教育ICT,▶ 評価する,1
COMP-498,医学生による「現代のヒポクラテスの誓い」,プロフェッショナリズム,▶ 評価する,1
COMP-499,ウェルビーイング：マインドフルな医師の微笑み,ウェルビーイング,▶ 評価する,1
COMP-500,GAMED-X：シミュレーションから真の救命へ,教育ICT,▶ 評価する,1
DISE-153,分娩中の胎児仮死,産婦人科,▶ 評価する,1
DISE-154,分娩中の妊婦の痙攣（子癇）,産婦人科,▶ 評価する,1
DISE-241,うつ病の診断と自殺リスク評価,精神科,▶ 評価する,1
DISE-160,重症薬疹（SJS/TEN）の初期診察,皮膚科,▶ 評価する,1
DISE-165,急性喉頭蓋炎,耳鼻咽喉科,▶ 評価する,1
DISE-166,有機リン中毒,救急・中毒,▶ 評価する,1
DISE-167,一酸化炭素中毒,救急・中毒,▶ 評価する,1
DISE-169,救急外来での心タンポナーデ,救急・循環器,▶ 評価する,1
DISE-170,壊死性筋膜炎,救急・皮膚,▶ 評価する,1
DISE-175,苦痛緩和のための鎮静,緩和ケア,▶ 評価する,1
DISE-176,急性腸間膜虚血症,救急・消化器,▶ 評価する,1
DISE-177,食道静脈瘤破裂（緊急対応）,消化器・救急,▶ 評価する,1
COMP-479,複雑な慢性疾患における共有意思決定（SDM）,医療倫理,▶ 評価する,1
DISE-180,多発性硬化症（MS）,脳神経内科,▶ 評価する,1
DISE-181,褐色細胞腫（クリーゼ）,内分泌,▶ 評価する,1
DISE-182,壊死性筋膜炎とクラッシュ症候群,災害・外科,▶ 評価する,1
